endpoint_id,policy_id,processing_end,processing_start,request_submitted,requestor_name,data_source
Excel #1,P48688723,2025-08-11 20:26:51.358973,2025-08-11 20:26:50.176731,2025-08-11 20:26:50.157341,Excel API [Closing Month-End],NA
Excel #0,P10040306,2025-08-11 20:26:51.362849,2025-08-11 20:26:50.176722,2025-08-11 20:26:50.072120,Excel API [Opening],NA
Excel #0,P35388589,2025-08-11 20:26:52.099585,2025-08-11 20:26:51.364432,2025-08-11 20:26:50.157348,Excel API [Closing Month-End],NA
Excel #1,P12691363,2025-08-11 20:26:52.100654,2025-08-11 20:26:51.360152,2025-08-11 20:26:50.157340,Excel API [Closing Month-End],NA
Excel #1,P12691363,2025-08-11 20:26:52.801892,2025-08-11 20:26:52.100730,2025-08-11 20:26:50.157687,Excel API [Opening],NA
Excel #0,P05471209,2025-08-11 20:26:52.839616,2025-08-11 20:26:52.099799,2025-08-11 20:26:50.157340,Excel API [Closing Month-End],NA
Excel #0,P35388589,2025-08-11 20:26:53.448721,2025-08-11 20:26:52.839863,2025-08-11 20:26:50.157687,Excel API [Opening],NA
Excel #1,P48688723,2025-08-11 20:26:53.530601,2025-08-11 20:26:52.802051,2025-08-11 20:26:50.157687,Excel API [Opening],NA
Excel #0,P05471209,2025-08-11 20:26:54.154323,2025-08-11 20:26:53.448819,2025-08-11 20:26:50.157687,Excel API [Opening],NA
Excel #1,P12691363,2025-08-11 20:26:54.859250,2025-08-11 20:26:53.530677,2025-08-11 20:26:50.157692,Excel API [Post-Opening Regression],NA
Excel #0,P35388589,2025-08-11 20:26:55.371618,2025-08-11 20:26:54.155080,2025-08-11 20:26:50.157693,Excel API [Post-Opening Regression],NA
Excel #1,P48688723,2025-08-11 20:26:55.827175,2025-08-11 20:26:54.859326,2025-08-11 20:26:50.157692,Excel API [Post-Opening Regression],NA
Excel #0,P05471209,2025-08-11 20:26:56.362443,2025-08-11 20:26:55.371705,2025-08-11 20:26:50.157693,Excel API [Post-Opening Regression],NA
Excel #1,P12691363,2025-08-11 20:26:56.829620,2025-08-11 20:26:55.827253,2025-08-11 20:26:50.157841,Excel API [Valuation Asset Shares],NA
Excel #0,P35388589,2025-08-11 20:26:57.072780,2025-08-11 20:26:56.362522,2025-08-11 20:26:50.157882,Excel API [Valuation Asset Shares],NA
Excel #1,P48688723,2025-08-11 20:26:57.683142,2025-08-11 20:26:56.829666,2025-08-11 20:26:50.157888,Excel API [Valuation Asset Shares],NA
Excel #0,P05471209,2025-08-11 20:26:57.778282,2025-08-11 20:26:57.072838,2025-08-11 20:26:50.157892,Excel API [Valuation Asset Shares],NA
Excel #1,P98195966,2025-08-11 20:26:58.415208,2025-08-11 20:26:57.683239,2025-08-11 20:26:51.368064,Excel API [Closing Month-End],NA
Excel #0,P98195966,2025-08-11 20:26:58.449523,2025-08-11 20:26:57.778323,2025-08-11 20:26:51.368075,Excel API [Opening],NA
Excel #0,P98195966,2025-08-11 20:26:59.091813,2025-08-11 20:26:58.449598,2025-08-11 20:26:51.368079,Excel API [Valuation Asset Shares],NA
Excel #1,P98195966,2025-08-11 20:26:59.323353,2025-08-11 20:26:58.415278,2025-08-11 20:26:51.368078,Excel API [Post-Opening Regression],NA
Excel #0,P37162908,2025-08-11 20:26:59.794520,2025-08-11 20:26:59.091938,2025-08-11 20:26:56.831723,Excel API [Opening],NA
Excel #1,P37162908,2025-08-11 20:27:00.198820,2025-08-11 20:26:59.323398,2025-08-11 20:26:56.831738,Excel API [Post-Opening Regression],NA
Excel #0,P48080021,2025-08-11 20:27:00.569694,2025-08-11 20:26:59.794597,2025-08-11 20:26:57.076409,Excel API [Closing Month-End],NA
Excel #1,P48080021,2025-08-11 20:27:00.882037,2025-08-11 20:27:00.198878,2025-08-11 20:26:57.076421,Excel API [Opening],NA
Excel #0,P48080021,2025-08-11 20:27:01.660576,2025-08-11 20:27:00.569797,2025-08-11 20:26:57.076425,Excel API [Post-Opening Regression],NA
Excel #1,P48080021,2025-08-11 20:27:01.689719,2025-08-11 20:27:00.882100,2025-08-11 20:26:57.076426,Excel API [Valuation Asset Shares],NA
Excel #1,P37162908,2025-08-11 20:27:02.397031,2025-08-11 20:27:01.689771,2025-08-11 20:27:00.198348,Excel API [Opening],92ae5c91-e2f7-4112-8063-b143c467e4b3
Excel #0,P37162908,2025-08-11 20:27:02.419221,2025-08-11 20:27:01.660771,2025-08-11 20:27:00.198332,Excel API [Closing Month-End],92ae5c91-e2f7-4112-8063-b143c467e4b3
Excel #0,P37162908,2025-08-11 20:27:03.035494,2025-08-11 20:27:02.419279,2025-08-11 20:27:00.198351,Excel API [Valuation Asset Shares],92ae5c91-e2f7-4112-8063-b143c467e4b3
Excel #1,P37162908,2025-08-11 20:27:03.274159,2025-08-11 20:27:02.397113,2025-08-11 20:27:00.198349,Excel API [Post-Opening Regression],92ae5c91-e2f7-4112-8063-b143c467e4b3
