idx,write_end,write_start,run_uid,session_uid
0,2025-08-28 09:18:43.425964,2025-08-28 09:18:43.175140,40b70255-1c18-488f-821c-492a2835c810,0747b876-fb8e-4fca-b7e5-fda7b4cb2518
1,2025-08-28 09:19:22.466943,2025-08-28 09:19:22.353676,40b70255-1c18-488f-821c-492a2835c810,0747b876-fb8e-4fca-b7e5-fda7b4cb2518
2,2025-08-28 09:19:53.532598,2025-08-28 09:19:53.280612,40b70255-1c18-488f-821c-492a2835c810,0747b876-fb8e-4fca-b7e5-fda7b4cb2518
3,2025-08-28 09:20:33.666170,2025-08-28 09:20:33.526707,40b70255-1c18-488f-821c-492a2835c810,0747b876-fb8e-4fca-b7e5-fda7b4cb2518
4,2025-08-28 09:21:15.669787,2025-08-28 09:21:15.551124,40b70255-1c18-488f-821c-492a2835c810,0747b876-fb8e-4fca-b7e5-fda7b4cb2518
5,2025-08-28 09:21:51.179067,2025-08-28 09:21:51.042382,40b70255-1c18-488f-821c-492a2835c810,0747b876-fb8e-4fca-b7e5-fda7b4cb2518
6,2025-08-28 09:22:34.995140,2025-08-28 09:22:34.845271,40b70255-1c18-488f-821c-492a2835c810,0747b876-fb8e-4fca-b7e5-fda7b4cb2518
7,2025-08-28 09:23:03.079215,2025-08-28 09:23:02.797533,40b70255-1c18-488f-821c-492a2835c810,0747b876-fb8e-4fca-b7e5-fda7b4cb2518
8,2025-08-28 09:23:44.261899,2025-08-28 09:23:43.477656,40b70255-1c18-488f-821c-492a2835c810,0747b876-fb8e-4fca-b7e5-fda7b4cb2518
9,2025-08-28 09:24:20.507217,2025-08-28 09:24:20.444044,40b70255-1c18-488f-821c-492a2835c810,0747b876-fb8e-4fca-b7e5-fda7b4cb2518
0,2025-08-28 07:30:42.549633,2025-08-28 07:30:42.000675,40b70255-1c18-488f-821c-492a2835c810,ed1bed3b-d6ee-4aa8-bf0e-9b2f4279326b
1,2025-08-28 07:31:52.496515,2025-08-28 07:31:52.400258,40b70255-1c18-488f-821c-492a2835c810,ed1bed3b-d6ee-4aa8-bf0e-9b2f4279326b
