run_uid,policy_id,cohort,step_uid,step_idx,prior_used_data_stage_uid,used_data_stage_uid,prior_table_code,table_code,prior_status,status,prior_sum_assured,sum_assured,prior_entry_date,entry_date,prior_npdd,npdd,prior_ltd_payment_term,ltd_payment_term,prior_entry_age_1,entry_age_1,prior_gender_1,gender_1,prior_entry_age_2,entry_age_2,prior_gender_2,gender_2,prior_joint_val_age,joint_val_age,prior_premium_frequency,premium_frequency,prior_modal_premium,modal_premium,prior_unsmoothed_asset_share,unsmoothed_asset_share,prior_smoothed_asset_share,smoothed_asset_share,prior_surrender_benefit,surrender_benefit,prior_death_benefit,death_benefit,prior_exit_bonus_rate,exit_bonus_rate,prior_unpaid_premiums,unpaid_premiums,prior_death_uplift_factor,death_uplift_factor,prior_guaranteed_death_benefit,guaranteed_death_benefit,title,type
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,6920fbd3-e1d1-4459-aca9-aa7c63267a14,1,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,5364.27,5364.27,5448.675,5448.675,5503.1616,5503.1616,6132.7925,6132.7925,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2782.7554,Remove Exited Records,REMOVE_EXITED_RECORDS
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,6d3385fc-8e01-4e95-9dc2-65471813ea5e,2,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,5364.27,5364.27,5448.675,5448.675,5503.1616,5503.1616,6132.7925,6132.7925,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2782.7554,Restated Opening Data,DATA_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,1254ec7b-e4ee-4a3b-b295-def984bc7e80,3,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,5364.27,5364.27,5448.675,5448.675,5503.1616,5503.1616,6132.7925,6132.7925,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2782.7554,AoC Opening Consistency Check,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,7f0492ca-6211-4032-bf89-a15879d07856,4,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,5364.27,5364.27,5448.675,5448.675,5503.1616,5503.1616,6132.7925,6132.7925,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2782.7554,Restated Opening Adjustments,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,d3d411ec-f5d7-419a-a9ff-67e3d95a9e15,5,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,5364.27,5368.055,5448.675,5448.915,5503.1616,5503.4043,6132.7925,6133.0625,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2782.7554,Restated Opening Returns,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,61530067-7402-435c-8c3e-933d80d19220,6,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,5368.055,4966.482,5448.915,5041.293,5503.4043,5091.706,6133.0625,5674.2607,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2782.7554,Restated Opening Deductions,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,12ff0e3a-eab8-4d55-94d5-92a561abd141,7,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4966.482,4985.0713,5041.293,5060.747,5091.706,5111.3545,5674.2607,5696.1577,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2782.7554,Move To Closing Run Date,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,92ae5c91-e2f7-4112-8063-b143c467e4b3,8,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4985.0713,4985.0713,5060.747,5060.747,5111.3545,5111.3545,5696.1577,5696.1577,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2782.7554,Data Roll-Forward,DATA_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,1b901498-b74d-408c-a3b4-f8654f63cf41,9,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4985.0713,4985.0713,5060.747,5060.747,5111.3545,5111.3545,5696.1577,5696.1577,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2782.7554,Adjustments,SOURCE_CHANGE
40b70255-1c18-488f-821c-492a2835c810,P00471828,REMAINING,320d8985-c752-43e1-89ba-72411a2053ad,10,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,T68,T68,PUP,PUP,504.24,504.24,1982-03-12,1982-03-12,2014-07-12,2014-07-12,44,44,31,31,MALE,MALE,NA,NA,NA,NA,NA,NA,MONTHLY,MONTHLY,1.91,1.91,4985.0713,4985.0713,5060.747,5060.747,5111.3545,5111.3545,5696.1577,5696.1577,0.01,0.01,0,0,1.1144125,1.1144125,2782.7554,2782.7554,Premiums,SOURCE_CHANGE
